artist,Year,location_description,title,Neighborhood,Location_1,,,,,,,
artist,created_at,location_description,title,neighborhood,,,,,,,,
"Acconci, Saitowitz and Soloman",1996,Public Display : District 3 : Embarcadero/Waterfront,Promenade Ribbon,Embarcadero,"Embarcadero, between North Point and Townsend Streets",,,,,,,
"Acconci, Vito",1979-1981,International Airport : T3 : Lower Level,Two Wings for Wall and Person,SFO,San Francisco International Airport : T3 : Lower Level,,,,,,,
"Acconci, Vito",1969,"Airport : International Terminal, transfer corridor",Light Beams for the Sky of Transfer Corridor,SFO,"San Francisco International Airport : International Terminal, transfer corridor",,,,,,,
"Adams, Mark",1969,Airport : Terminal 2 : Meeting Area,Garden Outside the Gate (The Garden Tapestries),SFO,San Francisco International Airport : Terminal 2 : Meeting Area,,,,,,,
"Adams, Mark",1981-1983,Airport : Terminal 2 : Meeting Area,Garden in San Andreas Valley (The Garden Tapestries),SFO,San Francisco International Airport : Terminal 2 : Meeting Area,,,,,,,
"Adams, Mark",1969,Airport : Terminal 2 : Meeting Area,Pond in Golden Gate Park (The Garden Tapestries),SFO,San Francisco International Airport : Terminal 2 : Meeting Area,,,,,,,
"Aitken, Robert Ingersoll",1969,Public Display : District 6 : Union Square,"The Dewey Monument (Admiral George Dewey, 1837-1917)",Union Square,Union Square,,,,,,,
"Aitken, Robert Ingersoll",1969,Public Display : District 1 : GGP: Music Concourse,Spandrels on Spreckles Temple of Music,Golden Gate Park,Music Concourse,,,,,,,
"Aitken, Robert Ingersoll",1969,"Public Display : District 5 : GGP, Entrance to Panhandle",William McKinley,Golden Gate Park,Entrance to Panhandle,,,,,,,
"Aitken, Robert Ingersoll",1969,"Public Display : District 6 : McAllister Street, North Side of City Hall",Hall McAllister (1829-1888),Civic Center,"McAllister Street, North Side of City Hall",,,,,,,
"Alavi, Seyed",2000,Public Display : District 1 : Richmond Rec Center,Speaking Stones,Richmond,"Richmond Rec Center, 251 18th Ave",,,,,,,
"Albro, Maxine",1969,Public Display : District 3 : Coit Tower,California,North Beach,Coit Tower,,,,,,,
"Alicia/Montoya, Juana/Emmanuel",2000,Airport : Boarding Area G : Gate 97,Sanctuario,SFO,Boarding Area G : Gate 97,,,,,,,
"Anargyros, Spero",1969,Public Display : District 6 : City Hall : Mayor's Rotunda,George Moscone,Civic Center,City Hall : Mayor's Rotunda,,,,,,,
"Anderson, Lois",1987,Public Display : District 7 : Douglas Playground Fieldhouse,Outdoor Wall Mosaic,Noe Valley,"Douglas Playground Fieldhouse, 26th St & Douglass Ave",,,,,,,
Anonymous,Unknown,"Public Display : District 1 : GGP, Music Concourse",Ludwig Van Beethoven (1770-1827),Golden Gate Park,Music Concourse,,,,,,,
Anonymous,1969,"Public Display : District 1 : Lincoln Park, NW side",Kanrin Maru Monument,Richmond,"Lincoln Park, NW side",,,,,,,
Anonymous,1969,Public Display : District 3 : Market and Kearny,Lotta's Fountain,FiDi,"Intersection of Market, Kearny & Geary",,,,,,,
Anonymous,1969,Public Display : District 3 : Huntington Park,Fountain of the Tortoises,,,,,,,,,
Anonymous,,"Public Display : District 1 : GGP, Japanese Tea Garden",Untitled (Stone Lantern),,,,,,,,,
Anonymous,1790,"Public Display : District 1 : GGP, Japanese Tea Graden",Amazarasti-no Hotoke (the Buddha that sits throughout the sunny and rainy weathe,,,,,,,,,
Anonymous,1969,Public Display : District 3 : Washington Square Park,Benjamin Franklin (1706-1790),,,,,,,,,
"Arcega, Michael",2010,Public Display : District 6 and 9 : Valencia Street : Between 16th and 19th Stre,Valencia St. Posts,Mission,Valencia between 16th & 19th St.,,,,,,,
"Arnautoff, Victor",1969,"Public Display : District 1 : Washington High School, main entrance",The Life of George Washington,,,,,,,,,
"Arnautoff, Victor Mikhail",1969,Public Display : District 1 : Washington High School,Edison (1847-1931) Washington (1732-1799) and Shakespeare (1564-1616),,,,,,,,,
"Arnautoff, Victor Mikhail",1969,Public Display : District 3 : Coit Tower,City Life,,,,,,,,,
"Arneson, Robert",2003,Public Display : District 3 : Embarcadero : Justin Herman Plaza,Yin Yang,FiDi,"Justin Herman Plaza, Embarcadero at Washington",,,,,,,
"Arnold, David",1967-1969,City Department : DPH : Health Center #3 : 1525 Silver Avenue,Untitled,,,,,,,,,
"Asawa, Ruth",1969,"Public Display : District 6 : Father Boeddeker Park, Eddy and Jones","Redding School, Self-Portrait",,,,,,,,,
"Asawa, Ruth",1969,"Public Display : District 5 : Japan Town, Post St.",Origami Fountains,,,,,,,,,
"Asawa, Ruth",1969,"Public Display : District 1 : GGP, Japanese Tea Garden",Hagiwara Family Plaque,,,,,,,,,
"Aycock, Alice",1996,"Public Display : District 6 : SFPL, Main : 100 Larkin St. : Periodicals",Cyclone Fragment,Civic Center,"SF Main Library, 5th & 4th Floor",,,,,,,
"Aycock, Alice",1996,"Public Display : District 6 : SFPL, Main : 100 Larkin St. : Periodicals",Functional and Fantasy Stair,Civic Center,"SF Main Library, 5th & 4th Floor",,,,,,,
"Barnes, Carroll",1977,City Department : MTA : Curtis E. Green Metro Center : San Jose and Ocean Aves.,Transverse and Column,,"San Jose Ave
",,,,,,,
"Barr, Aileen",2005,Public Display : District 7 : West Portal Clubhouse : exterior,Secret Garden,West Portal,"West Portal Playground, 131 Lenox Way at Ulloa",,,,,,,
"Barr, Aileen",2005,"Public Display : District 7 : West Portal Clubhouse, exterior",Secret Garden,West Portal,"West Portal Playground, 131 Lenox Way at Ulloa",,,,,,,
"Barr, Aileen",2005,Public Display : District 7 : West Portal Clubhouse : exterior,Secret Garden,West Portal,"West Portal Playground, 131 Lenox Way at Ulloa",,,,,,,
"Barr, Aileen",2005,Public Display : District 7 : West Portal Clubhouse : exterior,Secret Garden,West Portal,"West Portal Playground, 131 Lenox Way at Ulloa",,,,,,,
"Barr, Roger",1985,"Public Display : District 3 : Waterfront, between Piers 35 and 39",Skygate,Embarcadero,Piers 35 & 39,,,,,,,
"Barth, Anders",1997,"City Department : Fire Station #34, Geary @ 41st Ave.",Phoenix,Richmond,"Fire Station #34, 499 41st. Ave.",,,,,,,
"Barth, Anders",2000,City Department : Tenderloin Police Station : Jones St. Facade,First Person Plural,Tenderloin,"TL Police Station, 301 Eddy St.",,,,,,,
"Bates, Diana Pompelly",1969,City Department : Laguna Honda Hospital,Reflection,,,,,,,,,
"Beasley, Bruce",1981,Airport : Terminal 3,The Hesperides,SFO,"Terminal 3, Concourse F",,,,,,,
"Beauchemin, Micheline",1969,Storage : Airport,                                                      ,,,,,,,,,
"Bechtle, Robert",1979,Airport : Terminal 3,San Francisco Nova,"SFO
","Terminal 3, post-security",,,,,,,
"Beery, Jonathan",1969,Public Display : District 2 : Moscone Park and Rec Center,Leatherback Sea Turtle,,,,,,,,,
"Beery, Jonathan",1969,Public Display : District 2 : Moscone Park and Rec Center,The Pink Short-spined Starfish,,,,,,,,,
"Beldner, Ray",1996,Public Display : District 1 : MUNI Turnaround : La Playa and Cabrillo,Playland Revisited,Richmond,"MUNI Terminal: La Playa St & Cabrillo
",,,,,,,
"Berlandina, Jane",1969,Public Display : District 3 : Coit Tower,Home Life,,,,,,,,,
"Berlant, Tony",1987,Airport : T1,Dancing on the Brink of the World,SFO,"Terminal 1, Boarding Area B",,,,,,,
"Bertrand, Raymond",1969,Public Display : District 3 : Coit Tower,Meat Industry,,,,,,,,,
"Biaggi, Suzanne",2006,City Department : Laguna Honda Hospital : Courtyard F,Patterns of Time and Place [stone sculpture],Forest Hill,"Laguna Honda Hospital, 365 Laguna Honda",,,,,,,
"Blackstone, Amy",2004,Public Display : District 9 : Hoff Street Playground,Untitled,Mission,"Kidpower Park, Hoff St. between 16th & 17th St.",,,,,,,
"Blackstone, Amy",33m 20s,Public Display : District 3 : Helen Wills Playground,"Earth, Fire, and Water",,,,,,,,,
"Blake, Nayland W.",1996,"Public Display : District 6 : SFPL, Main : 100 Larkin : Grand Staircase in Atriu",Constellation,Civic Center,"SF Main Library, Grand Staircase & Atrium, 100 Larkin",,,,,,,
"Bongers, Jaap (Jacob)",1969,City Department : Richmond Police Station : 6th Ave. and Anza,Untitled #2,,,,,,,,,
"Bongers, Jaap (Jacob)",1969,City Department : Richmond Police Station : 6th Ave. and Anza : Lobby Floor,Untitled #1,,,,,,,,,
"Bongers, Jaap (Jacob)",1969,"City Department : Fire Station #24, 100 Hoffman",Fire,,,,,,,,,
"Bonner, Jonathan",2010,City Department : Laguna Honda Hospital : Courtyard B,Bloom,Forest Hill,"Laguna Honda Hospital, 365 Laguna Honda",,,,,,,
"Bowler, Patti",1970,Public Display : District 3 : East End of Broadway Tunnel,Dragon Relief,,,,,,,,,
"Boyce, Roger",1985,Public Display : District 9 : Mission Rec. Center : 2450 Harrison St. : Upstairs,Untitled,Mission,"Mission Rec Center, upstairs gymnasium, 2450 Harrison St",,,,,,,
"Boynton, Raymond",1969,Public Display : District 3 : Coit Tower,Animal Force and Machine Force,,,,,,,,,
"Brangwyn, Frank",1969,Public Display : District 6 : War Memorial : Herbst Theater : 401 Van Ness Avenu,Water: The Net,,401 Van Ness Ave,,,,,,,
"Brangwyn, Frank",1969,Public Display : District 6 : War Memorial : Herbst Theater : 401 Van Ness Avenu,Fire: Industrial Fire,,401 Van Ness Ave,,,,,,,
"Brangwyn, Frank",1969,Public Display : District 6 : War Memorial : Herbst Theater : 410 Van Ness Avenu,Fire: Primitive Fire,,401 Van Ness Ave,,,,,,,
"Brangwyn, Frank",1969,Public Display : District 6 : War Memorial : Herbst Theater : 401 Van Ness Avenu,Air: The Windmill,,401 Van Ness Ave,,,,,,,
"Brangwyn, Frank",1969,Public Display : District 6 : War Memorial : Herbst Theater : 401 Van Ness Avenu,Earth: The Fruit Pickers,,401 Van Ness Ave,,,,,,,
"Brangwyn, Frank",1969,Public Display : District 6 : War Memorial : Herbst Theater : 401 Van Ness Avenu,Earth: Dancing the Grapes,,401 Van Ness Ave,,,,,,,
"Brangwyn, Frank",1969,Public Display : District 6 : War Memorial : Herbst Theater,Water: The Fountain,,401 Van Ness Ave,,,,,,,
"Brangwyn, Frank",1969,Public Display : District 6 : War Memorial : Herbst Theater : 401 Van Ness Avenu,Air: The Hunters,,401 Van Ness Ave,,,,,,,
"Brothers, Beliz",2008-2009,City Department : Laguna Honda : South Residence : L3 : Northwest wall #1,Untitled [light boxes and glass panels],,,,,,,,,
"Brothers, Beliz",2008-2009,City Department : Laguna Honda : South Residence : L3 : Northwest wall #2,Untitled [light boxes and glass panels],,,,,,,,,
"Brothers, Beliz",2008-2009,City Department : Laguna Honda : South Residence : L3 : Southeast wall,Untitled [light boxes and glass panels],,,,,,,,,
"Brothers, Beliz",2008-2009,City Department : Laguna Honda : South Residence : L3 : Southwest wall #1,Untitled [light boxes and glass panels],,,,,,,,,
